sourceId,targetId
4318a9dcba6112ed6db19aead7bcb7ca,1511591f4ef29cc6258512a90199026d
b9fe0cf7dfd75f258463c3eaf92499a1,ec7795b04c0ea37b4de425a6bb581264
e95e79fad4af5ddad7482ae5b4d615eb,ec7795b04c0ea37b4de425a6bb581264
ceafcc571694681dd71ad2b4a6a6f914,ec7795b04c0ea37b4de425a6bb581264
bf54c43356e662e898043c133928b5e7,ec7795b04c0ea37b4de425a6bb581264
bbe34fcb4fff46be71ec39d177b13a07,ec7795b04c0ea37b4de425a6bb581264
35cbf8900be281f3f09cb6f7c0c539f7,ec7795b04c0ea37b4de425a6bb581264
4318a9dcba6112ed6db19aead7bcb7ca,ab10976fe20ee8c91b959151e85d3375
4318a9dcba6112ed6db19aead7bcb7ca,6289eccba951b3ff9ffaed96301b442a
b9fe0cf7dfd75f258463c3eaf92499a1,66210f54690d6220c1402eeb7c5b4e98
e95e79fad4af5ddad7482ae5b4d615eb,c56261296be41ceb0620a9c49b150a80
ceafcc571694681dd71ad2b4a6a6f914,e169ddddf9ab1828a0f1bbd059b5bc89
ceafcc571694681dd71ad2b4a6a6f914,3493c1eacb4fb75da94cdd1e319ee302
bf54c43356e662e898043c133928b5e7,19ec54c126c7400be1f0b0296c5f9cad
bf54c43356e662e898043c133928b5e7,83dd1ddc128f4328ccd807ae5c2ddbbd
bf54c43356e662e898043c133928b5e7,c5d2ae08b7f17b6fbe26a29284eb9d38
bf54c43356e662e898043c133928b5e7,57ae4fc9126a9d9af7c58473303237aa
bbe34fcb4fff46be71ec39d177b13a07,444406729413ec6e83b82c6fc497078d
bbe34fcb4fff46be71ec39d177b13a07,f604718eb46110cbe0d048e2e9624425
bbe34fcb4fff46be71ec39d177b13a07,784734b41aa08319cdda8f75e59ac356
35cbf8900be281f3f09cb6f7c0c539f7,afdf695e7b9838dbecd4b7eb6740b1d9
35cbf8900be281f3f09cb6f7c0c539f7,4f43e89fce4283fffa0a6e2de4c8dfa1
35cbf8900be281f3f09cb6f7c0c539f7,dda80b3eddcc9b12a4dc0e0e82aa43ba
35cbf8900be281f3f09cb6f7c0c539f7,921f071c9865afc95d245388917cb560
35cbf8900be281f3f09cb6f7c0c539f7,d655a5c8eb129f0dabccc80c67c815a6
